Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Energy,Oceania,USA,2022,80.36,440.99,73.73,86.14,16.39,5.5,1430.18,3176.29,66.94,17.81,-7.23,-2.62
Energy,South America,India,2006,298.66,217.5,93.64,154.29,43.9,16.25,1051.37,18351.25,32.3,5.73,8.39,9.56
Manufacturing,Africa,Brazil,2003,186.26,308.53,58.12,54.12,18.01,18.35,113.84,9845.92,53.44,34.66,-7.87,3.17
Energy,Europe,South Africa,2020,193.72,279.83,60.51,191.62,41.01,13.11,732.68,2653.68,29.68,43.12,-5.8,-1.91
Manufacturing,Asia,India,2022,194.15,910.96,95.54,18.85,35.26,2.2,113.4,2791.47,41.56,98.24,7.0,1.47
Mining,South America,South Africa,2007,265.07,522.19,86.96,150.32,48.48,0.4,468.98,1893.03,77.64,39.16,-0.32,0.52
Construction,North America,USA,2018,55.57,652.83,55.81,14.93,22.18,15.59,57.68,15540.81,84.21,25.6,-1.37,7.19
Mining,Oceania,South Africa,2021,18.22,934.77,76.61,169.04,47.74,17.44,1493.21,16176.93,92.86,98.56,6.76,2.4
Mining,North America,Australia,2011,116.32,182.63,18.17,27.39,32.37,18.96,641.54,5514.01,67.26,98.76,5.56,-3.55
Mining,Asia,Canada,2009,169.69,936.93,41.37,117.33,19.2,14.38,413.47,17825.49,77.54,75.79,4.13,0.33
Energy,Africa,South Africa,2013,86.07,539.87,71.57,66.78,24.55,0.73,121.87,20550.83,85.31,67.01,-4.17,-0.2
Energy,Africa,Australia,2011,206.92,856.29,28.93,120.99,36.54,9.63,216.07,12089.34,32.3,77.81,-8.4,-2.65
Energy,South America,South Africa,2020,22.64,168.41,45.44,9.66,44.26,9.85,343.69,22342.11,82.61,51.7,-8.82,1.62
Construction,South America,South Africa,2019,237.32,273.3,17.36,176.28,20.35,0.95,666.8,12739.05,74.9,18.06,5.88,5.63
Energy,Africa,Canada,2003,215.57,194.57,89.79,142.87,47.15,18.23,206.85,23514.11,62.9,49.49,-0.98,-4.43
Manufacturing,South America,Australia,2018,64.58,653.6,89.58,69.2,23.97,15.3,140.73,846.64,40.71,50.73,9.12,6.86
Mining,Africa,Australia,2006,89.89,141.19,47.89,94.16,38.54,4.18,1017.0,6823.51,80.07,84.48,1.43,-0.3
Construction,Asia,India,2020,242.2,792.63,19.28,125.28,45.39,13.08,890.15,7413.67,50.16,21.28,-0.11,-4.41
Construction,South America,Brazil,2000,232.11,250.81,67.95,123.6,11.07,16.27,275.1,8146.88,42.53,59.66,11.97,4.6
Construction,Africa,China,2007,244.22,255.85,21.43,127.98,10.13,17.1,764.12,9997.45,21.87,98.93,-1.41,-2.06
Construction,South America,Canada,2010,97.01,281.48,22.94,31.07,34.13,17.37,355.17,11124.49,91.9,40.79,11.37,9.0
Construction,North America,India,2000,290.89,746.51,97.21,158.66,31.64,15.71,128.25,2206.86,49.84,92.62,11.31,-2.0
Manufacturing,Oceania,Germany,2000,214.74,924.25,10.04,92.0,41.44,12.42,1075.1,1913.65,45.28,42.61,-4.88,-4.32
Mining,North America,Brazil,2003,20.03,907.56,37.99,160.07,27.12,1.81,789.41,12408.35,20.54,95.53,0.01,4.62
Construction,Europe,Brazil,2003,143.58,101.7,55.53,185.71,36.36,5.3,905.71,6527.93,54.0,1.49,2.02,-0.86
Mining,Africa,Canada,2010,199.53,262.81,10.87,20.74,8.58,10.7,226.46,11091.22,67.43,20.5,10.56,4.64
Energy,Europe,Australia,2000,51.01,672.35,3.99,71.27,27.31,7.41,1127.19,9729.34,87.97,60.03,-7.43,2.59
Construction,Africa,Germany,2009,270.58,618.74,54.28,106.24,0.61,14.25,1153.1,21135.05,29.46,99.82,-1.68,-4.04
Construction,Oceania,Australia,2003,226.36,350.35,11.54,27.07,34.13,2.45,749.23,6607.59,83.87,8.52,-5.03,0.88
Mining,South America,Australia,2022,24.89,862.91,25.19,51.9,48.53,18.87,1300.26,12201.93,63.83,21.1,6.79,-0.15
Construction,Africa,USA,2006,274.0,130.9,49.78,9.93,8.85,6.85,1487.93,16102.64,78.58,51.89,-3.28,8.54
Construction,North America,Germany,2001,121.61,639.21,34.82,136.3,6.92,10.4,657.12,22688.4,68.14,7.51,-9.3,4.09
Construction,South America,USA,2021,136.01,273.45,71.08,99.33,23.73,6.77,1042.31,2739.56,92.72,89.83,-7.16,2.12
Manufacturing,Oceania,China,2012,235.04,527.41,96.25,6.35,22.38,15.99,32.29,9479.11,55.82,99.45,12.96,1.82
Manufacturing,North America,USA,2021,193.38,387.79,75.34,60.8,22.2,3.17,103.72,4089.43,62.81,1.19,14.56,8.25
Construction,South America,Australia,2018,131.54,979.75,100.0,81.69,14.59,7.16,753.45,16208.48,75.59,17.13,-9.44,7.16
Manufacturing,Africa,Canada,2003,78.26,486.95,38.95,68.58,7.0,12.34,258.87,16832.99,59.17,75.15,-4.47,4.05
Energy,Africa,China,2005,155.31,976.11,30.59,3.75,46.15,1.01,35.27,16038.69,72.01,95.01,-0.81,1.73
Construction,North America,China,2021,173.96,255.39,21.34,57.61,17.5,12.25,94.8,16188.11,21.43,30.87,-3.6,2.03
Energy,Asia,South Africa,2016,189.46,768.06,88.5,16.32,20.42,13.95,157.4,3769.7,68.12,49.17,-7.45,7.3
Mining,Africa,South Africa,2008,181.72,717.2,39.05,1.26,21.13,19.01,1393.69,744.14,43.32,82.03,-2.04,9.45
Energy,Asia,Germany,2001,185.38,847.72,71.12,70.71,6.48,19.51,1013.47,7608.36,86.63,47.43,4.41,0.32
Mining,South America,Australia,2019,142.98,693.76,67.51,77.36,9.98,5.3,1183.33,8434.88,38.38,97.59,-4.09,-0.57
Construction,Asia,China,2005,168.79,682.52,5.8,182.9,0.74,13.41,255.53,10361.38,77.83,89.97,-3.98,7.09
Mining,North America,Australia,2017,86.95,660.88,87.98,25.75,24.92,1.77,488.72,6201.5,90.53,61.08,-8.2,0.32
Mining,Europe,USA,2022,47.93,985.06,48.7,140.11,27.76,14.46,169.83,24659.84,29.32,9.75,9.47,7.74
Energy,Europe,India,2021,182.28,228.48,22.43,52.79,10.75,6.73,1302.35,1783.34,96.48,7.38,0.75,3.1
Energy,North America,South Africa,2014,14.58,30.6,97.91,99.56,21.21,4.33,669.11,22400.59,35.63,90.65,10.28,1.03
Energy,Europe,Brazil,2022,20.03,678.13,75.34,86.21,34.58,0.46,1328.07,7814.98,76.24,49.52,5.83,6.94
Construction,North America,Brazil,2015,74.57,172.75,61.71,96.86,13.04,10.56,968.68,2420.57,87.89,13.63,10.8,7.48
Construction,Africa,USA,2000,58.7,679.54,98.84,152.55,18.42,3.67,1372.95,14400.18,21.31,58.58,-3.09,2.23
Energy,Asia,South Africa,2009,112.55,320.03,75.68,3.79,35.23,11.64,1055.09,4015.06,95.67,60.0,2.23,-4.5
Construction,Europe,India,2009,111.7,43.83,12.2,65.9,29.88,10.27,819.01,18979.78,49.99,75.02,7.76,4.86
Construction,Africa,Canada,2020,35.5,769.88,99.12,68.12,25.36,12.41,15.29,13839.31,64.56,47.32,-2.99,-0.71
Mining,Europe,Australia,2005,74.33,52.12,59.8,19.04,43.42,4.96,475.95,19467.65,80.32,30.5,-4.58,-2.31
Mining,South America,China,2022,1.87,224.53,30.01,2.24,3.61,2.45,935.52,15966.52,50.62,19.78,12.41,-2.21
Energy,North America,South Africa,2003,105.61,336.74,81.77,143.83,26.35,15.68,1493.54,23055.44,64.07,96.88,-0.04,2.51
Construction,North America,USA,2013,239.03,133.18,4.89,176.56,35.02,19.83,773.67,7667.44,35.53,53.45,0.97,-4.19
Mining,Africa,Australia,2016,80.21,913.61,65.47,62.26,13.88,7.66,992.22,3381.35,34.19,60.9,-1.13,9.2
Manufacturing,South America,China,2002,193.18,622.03,16.01,130.64,14.45,7.81,1401.21,16693.98,97.14,5.14,8.51,-1.17
Construction,Asia,South Africa,2001,29.93,875.46,8.85,199.03,24.98,17.33,174.69,23224.61,43.08,10.02,-5.09,0.02
Manufacturing,South America,Germany,2017,4.18,682.21,35.46,32.93,17.11,3.57,800.83,15402.67,94.29,74.81,-1.55,4.06
Energy,South America,India,2016,149.77,991.95,35.7,55.4,21.25,6.98,1180.51,22210.82,30.82,68.81,13.84,2.7
Construction,Oceania,Brazil,2012,138.71,525.39,60.09,163.63,34.58,5.65,572.97,1216.61,63.87,37.11,14.04,2.48
Energy,Asia,USA,2018,57.86,54.24,56.59,0.75,18.71,2.62,882.93,20601.27,24.29,32.69,3.12,5.93
Energy,Asia,Brazil,2009,86.33,161.28,68.83,118.58,1.47,10.92,1059.43,21893.85,75.41,86.3,-6.81,-1.92
Energy,South America,Australia,2020,9.69,588.64,17.49,95.66,4.75,12.58,1147.49,16095.05,81.12,91.99,-8.22,-0.05
Energy,Europe,China,2021,239.44,348.05,87.1,144.17,25.34,17.58,396.8,10949.56,74.95,76.88,11.27,8.45
Energy,Oceania,China,2003,90.73,113.34,85.88,105.84,46.76,13.0,306.45,7317.03,87.76,8.38,3.55,-1.89
Construction,Europe,Germany,2016,66.23,238.52,21.71,103.28,14.34,1.1,1381.27,3045.12,37.28,91.21,-2.52,4.38
Manufacturing,South America,Canada,2015,241.49,474.83,47.41,142.1,1.29,1.07,35.19,24072.42,30.91,35.31,13.39,2.75
Construction,Europe,China,2018,12.26,518.42,48.85,110.04,40.71,1.27,1206.77,4838.8,62.11,23.6,-5.07,7.16
Construction,Asia,China,2013,85.72,934.61,92.13,197.23,38.62,5.14,332.65,16646.0,29.81,93.25,-7.13,6.81
Construction,Asia,Australia,2019,79.19,91.13,90.57,139.63,43.57,5.09,1145.36,531.74,47.01,75.88,3.39,0.27
Mining,Europe,Canada,2014,79.26,358.13,6.84,161.39,23.36,15.54,804.78,5709.06,32.07,64.12,-7.8,1.12
Mining,Asia,Brazil,2018,3.94,506.3,95.81,84.57,3.88,1.08,750.09,24302.93,71.92,44.75,11.54,-1.53
Construction,North America,Brazil,2002,280.43,113.71,6.95,191.61,7.47,12.24,517.42,15681.83,26.59,58.01,8.97,2.3
Manufacturing,Asia,USA,2019,259.31,687.96,55.0,89.74,48.02,11.97,1385.8,15453.65,35.64,63.02,-3.31,2.99
Construction,South America,USA,2019,124.64,515.27,31.23,69.29,42.82,10.3,271.65,9202.19,95.19,94.23,-7.84,6.0
Energy,Africa,China,2015,133.91,459.78,39.11,187.87,30.37,0.56,80.77,643.5,63.92,16.56,-4.39,-2.66
Mining,Europe,South Africa,2006,157.48,656.25,62.71,75.48,2.69,16.52,829.6,17576.96,76.83,73.5,-2.53,1.33
Mining,Oceania,India,2017,143.76,288.17,58.42,73.18,3.43,7.62,156.69,17501.38,47.65,39.24,-1.37,-1.19
Construction,Europe,USA,2007,233.85,339.66,16.83,111.32,9.24,9.02,865.84,21980.03,51.59,94.2,-6.42,7.9
Construction,Asia,China,2013,146.78,163.12,96.98,169.9,32.97,13.44,782.37,17737.72,72.47,27.64,-8.66,0.34
Manufacturing,Asia,South Africa,2017,57.05,523.96,2.97,66.09,48.64,13.3,1005.05,9251.24,30.83,50.16,-8.06,6.02
Manufacturing,Africa,South Africa,2000,35.53,372.72,34.4,165.92,29.01,5.6,1300.96,12853.03,41.52,7.74,-3.04,2.99
Energy,Africa,Brazil,2019,275.52,260.7,80.16,32.68,41.92,0.33,535.84,6877.9,25.19,96.36,11.97,-0.84
Construction,Oceania,South Africa,2005,14.99,125.18,85.11,34.6,38.32,16.13,887.02,16198.12,66.27,35.75,0.96,7.52
Construction,South America,Germany,2012,269.32,23.71,79.75,90.24,13.18,15.15,755.59,10383.57,44.99,43.79,-4.13,2.77
Construction,North America,Brazil,2000,207.3,193.76,37.31,52.73,29.19,12.86,267.18,3400.11,85.21,32.05,1.78,9.13
Mining,South America,Brazil,2018,121.71,247.8,67.37,96.93,35.4,18.7,582.62,23396.85,87.07,72.76,-7.51,1.81
Energy,Oceania,Germany,2006,56.56,485.69,76.45,2.59,16.18,4.17,770.03,6175.5,21.62,99.89,-1.4,9.15
Manufacturing,Europe,Australia,2022,93.49,241.38,57.84,55.42,30.58,2.16,123.72,23415.43,28.97,1.08,14.23,2.71
Mining,Asia,Australia,2015,159.2,817.74,67.93,189.51,6.56,19.98,315.3,20376.21,27.89,83.75,-6.77,-0.23
Mining,South America,Brazil,2013,197.23,474.39,55.41,175.87,40.06,17.38,677.75,4744.27,44.32,60.96,-7.23,-1.96
Mining,Asia,USA,2001,207.6,624.0,5.59,5.84,15.61,0.93,943.17,5428.05,86.38,19.74,-2.56,7.66
Mining,Asia,Brazil,2006,134.46,208.33,27.4,160.89,15.31,6.67,933.5,5849.03,72.76,7.64,-1.16,5.93
Energy,South America,Germany,2019,112.51,416.42,70.29,88.83,36.5,10.4,352.97,55.23,79.65,5.61,7.06,-2.52
Construction,South America,China,2021,230.61,602.98,24.23,163.39,39.24,12.6,1434.19,14005.91,20.27,41.26,-8.41,1.14
Manufacturing,Africa,Canada,2019,277.66,311.39,45.6,56.09,36.53,8.39,403.7,15276.13,81.49,78.43,2.62,-3.71
Manufacturing,Oceania,China,2014,274.38,336.53,53.51,110.09,16.7,1.84,698.49,21188.28,85.27,16.0,7.17,9.23
Mining,Oceania,China,2013,165.71,807.52,67.13,197.23,46.03,9.51,807.56,15771.1,37.68,48.11,-1.13,7.14
Mining,North America,Australia,2000,24.17,837.26,25.99,65.43,29.8,10.98,536.09,10203.82,77.14,5.92,-4.11,1.3
Energy,Africa,Germany,2016,22.45,533.17,59.56,176.96,18.04,6.36,819.92,16739.97,39.66,29.52,9.82,7.43
Mining,North America,Germany,2015,121.13,896.46,59.69,175.46,17.4,3.26,567.19,20525.0,49.58,57.29,4.54,7.61
Manufacturing,South America,USA,2004,219.99,736.81,84.52,30.89,4.04,10.41,766.79,4367.09,22.46,48.4,-4.28,4.92
Manufacturing,Oceania,Germany,2020,149.45,55.77,55.25,48.78,8.44,5.63,886.87,564.85,83.69,27.06,-7.03,2.77
Construction,Oceania,South Africa,2022,188.4,559.69,29.58,25.68,32.71,4.86,173.42,13912.89,44.81,16.99,6.4,-0.32
Construction,North America,China,2002,253.07,697.94,52.32,57.68,15.8,14.5,1064.92,10372.25,31.55,30.31,4.72,-0.65
Manufacturing,Europe,Germany,2019,12.58,541.11,10.82,104.82,12.97,11.23,1115.94,21742.22,94.87,14.42,-1.71,7.63
Manufacturing,Africa,India,2018,277.18,832.06,60.81,185.62,0.35,14.89,124.13,16185.01,44.57,80.56,5.29,5.09
Energy,Africa,Australia,2001,99.6,301.19,91.62,79.38,42.21,9.02,70.75,9085.86,79.74,98.08,-5.62,-0.46
Energy,Africa,Brazil,2013,14.51,65.95,53.03,197.58,13.66,1.64,1124.94,14498.76,90.13,14.21,7.39,6.15
Manufacturing,Oceania,USA,2022,250.71,633.8,29.29,79.91,15.43,9.9,1427.77,14049.92,95.0,2.63,11.78,-0.84
Mining,Asia,China,2020,280.28,730.94,40.61,117.85,49.7,11.95,580.98,11878.89,51.4,79.07,10.1,6.39
Construction,Oceania,Canada,2018,230.7,765.37,90.2,192.96,23.98,15.56,1341.95,17126.02,41.2,28.16,-2.42,2.4
Manufacturing,Asia,South Africa,2012,241.45,11.55,81.33,120.36,26.89,11.7,1281.76,7550.19,32.12,18.39,-5.48,-2.22
Mining,Oceania,South Africa,2012,261.46,673.54,80.34,77.44,3.04,15.94,304.07,11533.62,63.83,74.08,0.31,4.06
Manufacturing,South America,Canada,2005,156.95,21.22,56.45,105.15,25.45,10.3,893.26,24323.79,94.6,63.72,-3.58,3.72
Construction,Oceania,China,2008,204.3,774.9,39.7,108.8,21.35,12.28,25.52,7529.05,88.68,30.2,-3.02,5.31
Construction,South America,South Africa,2019,86.29,703.25,13.33,21.1,43.52,0.55,1322.42,3821.74,45.78,95.38,-6.97,5.72
Energy,Asia,India,2000,75.29,567.63,97.56,80.99,26.19,17.24,781.72,366.81,44.34,10.27,12.93,-1.61
Energy,Africa,USA,2009,182.88,506.57,17.99,105.32,43.47,3.39,1438.25,5894.09,95.25,57.71,10.03,3.31
Energy,Asia,Australia,2002,220.52,715.25,25.29,155.87,37.77,14.81,521.04,1410.16,97.67,27.12,9.74,7.57
Energy,North America,Brazil,2005,119.44,57.67,76.45,1.31,0.73,8.95,35.3,15943.06,35.03,94.26,7.52,1.55
Construction,Africa,USA,2015,120.39,832.27,35.14,162.8,48.65,17.86,430.4,3488.08,93.66,89.39,1.22,-2.49
Mining,Oceania,USA,2019,286.29,201.63,58.43,54.11,3.75,6.16,502.56,14731.39,69.32,4.55,-7.14,-4.04
Mining,Oceania,Australia,2005,155.78,478.05,76.19,143.11,1.85,19.44,738.93,6602.47,36.65,74.62,-8.31,1.25
Mining,Oceania,Canada,2011,295.89,487.06,55.66,154.49,15.57,14.74,232.6,3592.09,88.02,99.05,-8.71,-1.34
Manufacturing,Oceania,China,2002,258.92,777.23,49.12,171.94,21.27,12.33,1015.46,17664.48,57.82,75.5,10.75,9.92
Energy,Oceania,Canada,2022,192.08,193.39,5.17,190.38,11.24,18.82,113.6,24668.97,47.65,11.07,0.54,-2.75
Energy,Asia,Germany,2017,3.24,300.1,48.82,180.01,24.91,10.84,348.79,21638.18,37.4,60.84,0.07,9.99
Construction,South America,Brazil,2020,89.13,663.28,45.56,126.67,48.4,7.33,8.58,20221.65,60.15,56.98,-7.03,1.14
Construction,Asia,USA,2002,125.58,413.07,88.06,145.12,27.82,13.93,809.78,19354.1,89.79,34.13,-1.39,0.55
Manufacturing,Europe,India,2004,196.02,299.21,44.79,140.45,5.68,4.96,322.82,8975.28,90.36,27.93,12.85,-2.1
Manufacturing,Asia,Australia,2018,118.96,621.61,63.03,103.62,45.6,10.5,900.12,4431.16,30.78,51.17,11.02,6.87
Mining,Africa,China,2017,248.43,87.03,77.4,153.74,5.59,17.9,846.47,3056.31,23.89,90.14,-8.42,3.64
Construction,Oceania,Germany,2007,199.04,789.88,46.82,90.65,22.93,8.86,1178.08,15003.9,85.05,92.3,14.99,1.87
Energy,Asia,Germany,2009,104.47,524.99,26.16,164.01,23.14,8.55,1046.52,19288.43,38.15,32.1,13.5,6.25
Mining,South America,China,2018,235.44,206.42,89.41,148.79,36.44,6.81,73.05,24695.85,86.2,19.23,10.06,-3.65
Energy,Oceania,USA,2009,91.28,408.81,89.56,98.01,34.02,13.17,777.32,12611.45,48.37,51.26,12.86,-1.22
Mining,North America,Australia,2020,19.3,131.51,89.99,102.88,30.86,5.41,1291.93,10992.44,59.93,51.16,-2.35,7.97
Energy,Europe,South Africa,2001,52.18,616.77,27.35,128.26,31.86,16.17,99.98,7769.53,70.63,13.93,1.63,-2.93
Manufacturing,Africa,Canada,2009,1.32,669.47,31.61,66.68,38.05,12.67,1427.6,9993.83,79.09,40.4,6.38,-4.44
Mining,South America,China,2021,249.79,405.58,91.89,111.26,8.7,19.16,1487.91,8121.53,58.63,63.93,1.96,8.88
Energy,Europe,South Africa,2017,188.32,340.02,12.67,180.0,48.82,18.46,634.91,9463.34,45.25,16.28,-9.33,-3.78
Energy,Asia,Germany,2003,171.39,849.86,65.62,62.28,27.33,6.43,473.14,18577.15,80.09,29.8,1.86,-1.3
Construction,Europe,Germany,2002,198.78,576.28,29.3,137.91,36.1,16.48,1267.79,11139.49,88.09,68.53,8.92,0.34
Mining,Oceania,India,2016,196.25,667.19,72.16,8.07,28.99,1.15,1301.64,15213.89,92.94,83.18,0.52,4.93
Energy,Oceania,India,2016,169.87,127.96,83.38,25.73,43.78,6.57,1235.64,21559.44,72.98,74.46,14.47,4.97
Construction,North America,Germany,2021,252.8,713.47,40.87,177.01,29.4,15.45,1215.98,17833.88,25.05,92.53,7.38,9.83
Energy,Europe,India,2011,132.56,444.89,15.2,180.67,4.87,1.56,1021.27,2151.18,45.85,85.06,-9.95,-0.84
Mining,Europe,India,2016,241.54,366.99,73.25,113.8,43.7,11.97,51.65,19039.12,31.39,43.76,7.3,-3.72
Manufacturing,Oceania,India,2012,236.1,929.44,5.67,119.43,5.21,15.2,866.13,24341.03,80.85,90.5,12.22,7.67
Mining,Asia,Germany,2008,60.25,54.41,1.6,82.0,26.13,14.18,418.84,19004.99,66.82,39.85,5.36,3.74
Mining,Asia,USA,2000,136.4,196.01,87.73,119.39,10.17,15.53,893.63,16725.14,96.38,23.21,5.89,9.71
Energy,Africa,USA,2014,250.56,375.35,81.7,175.16,6.14,3.36,453.0,8775.04,84.42,62.39,-9.32,2.87
Energy,Asia,Australia,2018,249.34,324.38,58.24,31.0,6.2,6.42,434.17,11075.38,28.09,97.47,2.21,0.47
Mining,Europe,Brazil,2008,7.69,510.93,66.57,100.16,43.31,15.2,388.78,14367.1,87.76,78.9,0.25,2.09
Construction,North America,India,2016,67.3,401.2,95.27,175.24,17.36,11.79,564.1,15266.74,75.26,64.69,6.21,-1.95
Construction,Asia,USA,2014,127.45,788.39,6.37,14.29,17.71,1.83,555.15,2339.4,61.07,81.18,-9.44,-2.2
Construction,Oceania,Brazil,2001,14.62,768.12,21.74,40.32,34.29,18.48,1295.49,2795.52,83.18,6.97,7.68,6.02
Energy,Oceania,China,2003,78.56,772.49,72.95,102.62,41.6,3.49,608.12,860.2,28.89,15.36,12.71,-2.99
Energy,Africa,India,2006,77.86,369.67,26.48,123.53,40.99,11.88,546.64,12565.77,26.61,70.47,6.53,2.45
Mining,Africa,USA,2007,64.76,407.66,20.81,141.46,32.42,4.23,381.63,4864.61,37.87,40.9,-9.52,5.36
Manufacturing,Europe,USA,2000,119.3,720.6,44.28,37.07,35.92,16.37,821.07,5592.92,30.34,88.89,4.32,6.91
Energy,Asia,South Africa,2000,244.0,124.64,72.4,119.61,30.83,11.68,539.47,11322.94,53.92,10.77,14.66,-1.07
Mining,Asia,USA,2004,73.61,851.99,21.13,68.74,41.61,8.28,1467.4,6346.27,93.47,37.32,-0.26,8.92
Mining,Africa,South Africa,2007,174.83,541.49,43.01,63.35,17.3,14.72,706.75,24854.04,63.26,65.79,3.71,5.81
Manufacturing,Asia,Brazil,2000,167.49,848.62,51.93,12.67,11.98,7.07,5.89,14963.41,94.53,15.13,7.63,6.42
Construction,Europe,South Africa,2002,245.47,793.71,17.31,24.89,9.91,0.14,526.76,3667.04,99.28,41.03,2.21,-2.73
Mining,North America,China,2021,118.5,374.7,47.73,159.81,30.22,1.88,284.64,11106.68,25.24,86.55,5.44,3.52
Mining,Oceania,Canada,2016,67.46,102.01,86.6,91.41,11.93,1.29,527.76,22115.89,20.26,4.4,0.13,-1.46
Mining,Europe,Australia,2002,267.51,920.87,74.63,149.84,6.59,4.47,382.2,12717.42,78.39,91.96,-2.54,-1.05
Construction,Asia,Canada,2000,249.97,344.93,50.39,163.54,48.23,18.21,332.45,19986.07,97.97,51.91,13.41,4.19
Construction,Europe,India,2003,186.64,374.05,12.62,158.7,18.96,3.85,299.83,8732.55,82.55,60.26,-8.25,3.39
Manufacturing,Oceania,USA,2008,28.43,909.09,2.43,196.25,44.72,11.73,1373.75,1318.78,65.51,23.1,7.87,6.52
Energy,South America,Australia,2012,5.33,917.39,6.82,51.93,35.25,15.74,50.05,18194.75,84.64,42.36,13.6,-3.75
Construction,Oceania,Germany,2004,55.2,263.27,75.05,14.65,17.49,14.8,1176.89,20110.96,80.56,86.4,3.26,0.96
Energy,Oceania,India,2013,59.39,89.41,70.47,104.58,7.19,6.62,181.48,21658.53,48.94,75.21,-4.49,8.65
Energy,South America,Germany,2018,41.31,1.61,74.63,192.67,42.09,9.57,71.43,17392.88,94.92,95.81,-3.74,-3.37
Construction,Asia,Australia,2022,79.02,438.58,30.79,40.52,44.59,1.61,517.47,9213.85,24.55,71.33,-8.39,3.69
Mining,Asia,Brazil,2013,101.7,568.79,9.08,108.82,9.22,2.05,973.97,21790.25,36.2,33.35,-7.97,0.08
Manufacturing,North America,USA,2021,226.45,270.7,71.46,81.98,31.46,5.01,1484.16,19224.89,40.47,87.83,5.05,-2.66
Energy,Oceania,India,2003,213.0,260.12,92.25,124.78,28.19,3.08,393.51,6996.54,33.22,34.81,-6.54,4.55
Mining,Europe,India,2003,31.76,357.11,45.27,87.3,46.42,1.45,389.46,18207.88,76.02,24.75,14.18,4.89
Construction,North America,USA,2008,293.14,263.45,76.46,197.7,32.42,5.27,224.39,7827.74,72.78,7.13,12.26,6.23
Energy,Asia,Australia,2001,225.77,858.51,72.83,155.88,13.61,10.74,1227.59,21365.69,97.22,29.0,1.92,1.7
Energy,Asia,China,2009,49.45,643.02,85.38,154.62,35.81,4.29,1193.66,14240.53,72.01,22.62,-0.2,8.9
Energy,Africa,Brazil,2017,37.79,829.03,2.94,73.45,26.45,5.69,699.57,789.51,61.75,97.28,12.86,-1.83
Mining,North America,USA,2006,26.72,860.55,95.53,153.07,17.43,16.49,515.1,20464.97,48.01,59.13,10.56,0.21
Mining,Asia,Canada,2020,219.67,435.29,86.55,104.4,30.42,15.05,332.07,1628.92,94.46,8.37,4.58,4.42
Mining,South America,Canada,2013,71.27,477.84,87.66,171.47,48.12,0.71,688.77,168.28,61.23,72.78,5.79,-4.21
Energy,Africa,South Africa,2020,22.35,977.83,99.64,156.46,40.89,1.7,1213.79,9558.71,63.87,81.69,6.38,7.84
Energy,Europe,India,2014,126.84,816.93,63.98,134.06,37.15,18.57,1042.53,4151.11,80.3,1.4,-5.32,0.96
Manufacturing,Africa,China,2009,212.76,798.0,8.26,48.31,3.91,7.29,742.03,5838.48,56.26,51.65,6.75,8.46
Manufacturing,Oceania,India,2004,91.71,583.92,82.3,114.79,6.13,0.57,804.64,9702.98,59.26,66.64,2.78,-1.71
Mining,Oceania,Germany,2007,145.05,461.42,13.57,178.63,30.65,7.87,856.38,1782.13,43.27,7.81,-1.72,8.91
Mining,Europe,India,2021,58.21,894.66,73.82,124.83,1.68,15.31,1143.29,9099.49,70.09,9.2,2.26,6.23
Construction,South America,Canada,2020,129.03,804.65,42.46,166.38,32.16,18.06,174.24,6410.14,22.8,78.5,4.7,3.76
Mining,Europe,Brazil,2004,108.0,517.03,0.76,106.78,15.17,14.04,778.9,3950.38,29.39,73.87,0.29,-2.37
Manufacturing,North America,USA,2004,130.46,270.86,43.63,168.59,8.13,5.53,328.81,16160.36,83.33,76.93,-1.02,-0.25
Manufacturing,Europe,India,2013,139.98,147.71,79.69,116.75,2.4,19.74,1360.17,18328.89,78.11,6.11,-0.74,-0.45
Manufacturing,Europe,Canada,2000,28.14,552.93,8.83,170.26,10.66,3.12,1375.85,13890.07,74.28,68.59,5.37,-0.29
Energy,Africa,South Africa,2004,28.46,296.38,0.32,94.62,34.83,7.43,292.77,10328.61,27.49,40.24,7.58,-4.43
Energy,South America,Germany,2018,78.55,264.58,45.33,133.33,22.53,7.19,1308.33,14622.08,26.94,23.04,0.32,0.24
Mining,Europe,Canada,2021,35.17,106.23,0.25,11.57,1.74,9.89,1102.15,3251.66,47.5,39.44,14.6,1.13
Construction,North America,Germany,2011,76.21,34.96,93.48,87.62,3.55,2.4,758.33,14554.76,48.3,9.15,13.36,3.1
Construction,Africa,USA,2014,7.85,783.46,82.5,27.96,29.22,12.31,1105.44,12791.73,55.52,12.27,0.06,-0.75
Construction,South America,Germany,2002,105.55,108.43,63.05,46.13,41.88,12.8,113.09,3598.69,78.85,33.44,8.87,9.28
Energy,South America,Australia,2000,64.42,888.67,1.83,108.31,29.84,9.12,1401.22,17549.98,94.21,29.81,4.15,4.05
Manufacturing,Asia,USA,2011,267.7,214.18,57.03,108.18,19.32,2.06,906.38,18091.95,31.3,55.56,7.93,3.5
